年份,权益登记日,除息日,每份分红,分红发放日
2021年,2021-02-24,2021-02-24,0.0300,2021-02-25
2020年,2020-12-09,2020-12-09,0.0500,2020-12-10
2020年,2020-11-12,2020-11-12,0.0500,2020-11-13
2019年,2019-10-28,2019-10-28,0.0239,2019-10-29
2019年,2019-09-23,2019-09-23,0.0486,2019-09-24
2019年,2019-08-27,2019-08-27,0.0507,2019-08-28
2019年,2019-07-29,2019-07-29,0.0530,2019-07-30
2019年,2019-06-25,2019-06-25,0.0606,2019-06-26
2019年,2019-05-27,2019-05-27,0.0635,2019-05-28
2019年,2019-04-29,2019-04-29,0.0667,2019-04-30
2019年,2019-03-27,2019-03-27,0.0700,2019-03-28
2019年,2019-02-27,2019-02-27,0.0736,2019-02-28
2019年,2019-01-29,2019-01-29,0.0771,2019-01-30
2018年,2018-12-26,2018-12-26,0.0807,2018-12-27
