年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-15,2020-12-15,0.0340,2020-12-17
2020年,2020-06-16,2020-06-16,0.0530,2020-06-18
2020年,2020-03-19,2020-03-19,0.0270,2020-03-23
2019年,2019-12-13,2019-12-13,0.0230,2019-12-17
2019年,2019-09-24,2019-09-24,0.0320,2019-09-26
2019年,2019-06-25,2019-06-25,0.0090,2019-06-27
2019年,2019-03-15,2019-03-15,0.0150,2019-03-19
2018年,2018-06-19,2018-06-19,0.0090,2018-06-21
2017年,2017-12-25,2017-12-25,0.0240,2017-12-27
2017年,2017-09-26,2017-09-26,0.0370,2017-09-28
2017年,2017-03-21,2017-03-21,0.0080,2017-03-23
