年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-12-24,2020-12-24,0.0540,2020-12-25
2020年,2020-11-19,2020-11-19,0.0609,2020-11-20
2017年,2017-07-18,2017-07-18,0.0067,2017-07-19
2017年,2017-04-20,2017-04-20,0.0093,2017-04-21
2017年,2017-01-18,2017-01-18,0.0124,2017-01-19
2016年,2016-10-25,2016-10-25,0.0156,2016-10-26
2016年,2016-07-18,2016-07-18,0.0157,2016-07-19
2016年,2016-04-19,2016-04-19,0.0166,2016-04-20
2016年,2016-01-20,2016-01-20,0.0177,2016-01-21
2015年,2015-10-23,2015-10-23,0.0202,2015-10-26
2015年,2015-07-16,2015-07-16,0.0260,2015-07-17
2015年,2015-04-21,2015-04-21,0.0082,2015-04-22
2015年,2015-01-22,2015-01-22,0.0131,2015-01-23
2013年,2013-07-16,2013-07-16,0.0050,2013-07-17
2013年,2013-04-18,2013-04-18,0.0200,2013-04-19
2013年,2013-01-22,2013-01-22,0.0100,2013-01-23
2012年,2012-10-29,2012-10-29,0.0080,2012-10-30
2012年,2012-08-27,2012-08-27,0.0130,2012-08-28
2012年,2012-06-20,2012-06-20,0.0190,2012-06-21
2012年,2012-02-17,2012-02-17,0.0140,2012-02-20
2011年,2011-11-15,2011-11-15,0.0140,2011-11-16
