年份,权益登记日,除息日,每份分红,分红发放日
2020年,2020-10-09,2020-10-09,0.0074,2020-10-13
2020年,2020-07-01,2020-07-01,0.0105,2020-07-03
2020年,2020-04-01,2020-04-01,0.0060,2020-04-03
2017年,2017-01-03,2017-01-03,0.0012,2017-01-05
2016年,2016-10-10,2016-10-10,0.0085,2016-10-12
2016年,2016-07-01,2016-07-01,0.0080,2016-07-05
2016年,2016-04-01,2016-04-01,0.0075,2016-04-06
2016年,2016-01-04,2016-01-04,0.0092,2016-01-06
2015年,2015-10-08,2015-10-08,0.0090,2015-10-12
2015年,2015-07-01,2015-07-01,0.0200,2015-07-03
2015年,2015-04-01,2015-04-01,0.0133,2015-04-03
2015年,2015-01-05,2015-01-05,0.0180,2015-01-07
2014年,2014-10-08,2014-10-08,0.0135,2014-10-10
2013年,2013-07-01,2013-07-01,0.0023,2013-07-03
2013年,2013-04-01,2013-04-01,0.0260,2013-04-03
2013年,2013-01-04,2013-01-04,0.0145,2013-01-08
2012年,2012-10-08,2012-10-08,0.0054,2012-10-10
2012年,2012-07-02,2012-07-02,0.0110,2012-07-04
2012年,2012-04-05,2012-04-05,0.0040,2012-04-09
2012年,2012-01-04,2012-01-04,0.0160,2012-01-06
